id,group,treatment,sex,time,volume
861540,1,vehicle,m,1,233.28
861540,1,vehicle,m,4,461.709
861540,1,vehicle,m,8,652.9995
861540,1,vehicle,m,11,1091.664
861540,1,vehicle,m,15,1690.128
861540,1,vehicle,m,18,2013.8625
862101,1,vehicle,m,1,214.245
862101,1,vehicle,m,4,461.563
862101,1,vehicle,m,8,718.848
862101,1,vehicle,m,11,880.547
862101,1,vehicle,m,15,1366.5365
862101,1,vehicle,m,18,1680.741
862101,1,vehicle,m,22,2614.689
862111,1,vehicle,f,1,201.81
862111,1,vehicle,f,4,393.588
862111,1,vehicle,f,8,483.84
862111,1,vehicle,f,11,763.902
862111,1,vehicle,f,15,885.6
862111,1,vehicle,f,18,1497.3775
862111,1,vehicle,f,22,2342.676
858077,1,vehicle,f,1,272
858077,1,vehicle,f,4,373.527
858077,1,vehicle,f,8,388.29
858077,1,vehicle,f,11,693.668
858077,1,vehicle,f,15,904.471
858077,1,vehicle,f,18,800.0
858077,1,vehicle,f,22,933.3915
858077,1,vehicle,f,25,1436.306
858077,1,vehicle,f,29,1914.438
862112,1,vehicle,f,1,148.608
862112,1,vehicle,f,4,169.065
862112,1,vehicle,f,8,282.534
862112,1,vehicle,f,11,327.4375
862112,1,vehicle,f,15,479.408
862112,1,vehicle,f,18,798.7125
862112,1,vehicle,f,22,953.7935
862112,1,vehicle,f,25,1260.672
862112,1,vehicle,f,29,2180.538
862103,1,vehicle,f,1,354.294
862103,1,vehicle,f,4,619.308
862103,1,vehicle,f,8,883.3
862103,1,vehicle,f,11,1570.599
862103,1,vehicle,f,15,2095.1055
856708,1,treatment,m,1,313.6
856708,1,treatment,m,4,436.088
856708,1,treatment,m,8,710.976
856708,1,treatment,m,11,632.1875
856708,1,treatment,m,15,819.819
856708,1,treatment,m,18,1161.6855
856708,1,treatment,m,22,1423.008
856708,1,treatment,m,25,2016.782
861539,1,treatment,m,1,163.8485
861539,1,treatment,m,4,239.4475
861539,1,treatment,m,8,359.734
861539,1,treatment,m,11,490.05
861539,1,treatment,m,15,937.024
861539,1,treatment,m,18,1067.742
861539,1,treatment,m,22,1565.4765
861539,1,treatment,m,25,1689.21
861539,1,treatment,m,29,2257.299
858076,1,treatment,f,1,217.5875
858076,1,treatment,f,4,380.8
858076,1,treatment,f,8,541.696
858076,1,treatment,f,11,1180.062
858076,1,treatment,f,15,1679.8255
858076,1,treatment,f,18,1428.05
858076,1,treatment,f,22,2144.55
858946,1,treatment,f,1,189.584
858946,1,treatment,f,4,216.6255
858946,1,treatment,f,8,318.291
858946,1,treatment,f,11,337.8915
858946,1,treatment,f,15,514.425
858946,1,treatment,f,18,639.846
858946,1,treatment,f,22,948.648
858946,1,treatment,f,25,1274.191
858946,1,treatment,f,29,1572.16
862110,1,treatment,f,1,183.2985
862110,1,treatment,f,4,229.147
862110,1,treatment,f,8,300.8
862110,1,treatment,f,11,455.455
862110,1,treatment,f,15,649.221
862110,1,treatment,f,18,1071.63
862110,1,treatment,f,22,1193.546
862110,1,treatment,f,25,1494.7205
862110,1,treatment,f,29,1670.004
858079,1,treatment,m,1,210.357
858079,1,treatment,m,4,398.816
858079,1,treatment,m,8,506.88
858079,1,treatment,m,11,683.1575
858079,1,treatment,m,15,778.752
858079,1,treatment,m,18,915.624
858079,1,treatment,m,22,1467.2655
858079,1,treatment,m,25,1692.384
858079,1,treatment,m,29,1804.278
886274,2,vehicle,m,1,125
886274,2,vehicle,m,4,380.4
886274,2,vehicle,m,8,366.892
886274,2,vehicle,m,11,815
886274,2,vehicle,m,15,1562.4
886274,2,vehicle,m,18,2786.472
886274,2,vehicle,m,22,-1
886274,2,vehicle,m,25,-1
886923,2,vehicle,m,1,196
886923,2,vehicle,m,4,321.7
886923,2,vehicle,m,8,343.1875
886923,2,vehicle,m,11,645.048
886923,2,vehicle,m,15,1284.4
886923,2,vehicle,m,18,1748.3895
886923,2,vehicle,m,22,-1
886923,2,vehicle,m,25,-1
886276,2,vehicle,f,1,114.873
886276,2,vehicle,f,4,166.464
886276,2,vehicle,f,8,181.3
886276,2,vehicle,f,11,235.468
886276,2,vehicle,f,15,305.942
886276,2,vehicle,f,18,388.8
886276,2,vehicle,f,22,539.136
886276,2,vehicle,f,25,622.9125
886277,2,vehicle,f,1,100.92
886277,2,vehicle,f,4,130.696
886277,2,vehicle,f,8,166.093
886277,2,vehicle,f,11,196.992
886277,2,vehicle,f,15,280.845
886277,2,vehicle,f,18,320.3385
886277,2,vehicle,f,22,560
886277,2,vehicle,f,25,681.408
886271,2,treatment,m,1,180
886271,2,treatment,m,4,197.2
886271,2,treatment,m,8,298.08
886271,2,treatment,m,11,429.7455
886271,2,treatment,m,15,635.85
886271,2,treatment,m,18,1016.4825
886271,2,treatment,m,22,1361.886
886271,2,treatment,m,25,1630.85
886916,2,treatment,m,1,162
886916,2,treatment,m,4,240.2
886916,2,treatment,m,8,197.568
886916,2,treatment,m,11,305.184
886916,2,treatment,m,15,663.3375
886916,2,treatment,m,18,848.318
886916,2,treatment,m,22,1209.6
886916,2,treatment,m,25,1397.844
882415,2,treatment,f,1,109.33
882415,2,treatment,f,4,305.0865
882415,2,treatment,f,8,414.736
882415,2,treatment,f,11,510.291
882415,2,treatment,f,15,744.185
882415,2,treatment,f,18,867.313
882415,2,treatment,f,22,615.6
882415,2,treatment,f,25,885.8515
886919,2,treatment,f,1,111.6
886919,2,treatment,f,4,123.008
886919,2,treatment,f,8,143.748
886919,2,treatment,f,11,157.216
886919,2,treatment,f,15,243.36
886919,2,treatment,f,18,254.947
886919,2,treatment,f,22,378.45
886919,2,treatment,f,25,540.653

