	"D_8.genes.results"	"D_8_b.genes.results"	"D_1_c.genes.results"	"D_1.genes.results"	"D_1_b.genes.results"
"ENSG00000000003"	1298.00	768.00	1793.00	1373.00	722.00
"ENSG00000000005"	0.00	0.00	0.00	0.00	0.00
"ENSG00000000419"	925.19	1546.43	4174.83	971.48	1650.78
"ENSG00000000457"	213.30	125.35	174.06	162.90	87.37
"ENSG00000000460"	607.70	414.65	749.94	455.10	291.63
"ENSG00000000938"	1.00	0.00	0.00	0.00	0.00
"ENSG00000000971"	1866.73	3.00	21.00	2326.42	5.00
"ENSG00000001036"	2157.80	1081.85	2507.81	2301.94	925.96
"ENSG00000001084"	524.00	645.00	1881.76	570.00	698.00
"ENSG00000001167"	628.96	565.00	977.00	410.84	401.00
"ENSG00000001460"	98.00	92.00	196.00	124.00	85.00
"ENSG00000001461"	1045.00	407.00	1112.00	1130.00	485.00
"ENSG00000001497"	622.00	1388.00	3263.00	514.00	1260.00
"ENSG00000001561"	282.00	249.00	423.00	378.00	263.00
"ENSG00000001617"	1292.00	1312.00	5139.00	1767.00	1460.00
"ENSG00000001626"	0.00	0.00	2.00	0.00	2.00
"ENSG00000001629"	1930.00	997.00	2723.00	2087.00	1051.00
"ENSG00000001630"	2402.98	1785.92	4362.01	1275.61	1803.10
"ENSG00000001631"	727.38	478.27	1176.73	798.12	425.85
"ENSG00000002016"	172.00	101.00	190.00	104.00	69.00
"ENSG00000002079"	16.54	0.00	1.00	28.33	0.00
"ENSG00000002330"	429.91	572.92	1529.81	460.60	639.95
"ENSG00000002549"	933.00	1512.00	3695.00	732.00	1431.00
"ENSG00000002586"	816.50	114.50	290.00	883.50	114.50
"ENSG00000002587"	88.00	3.00	1.00	112.00	1.00
"ENSG00000002726"	204.00	0.00	0.00	293.00	0.00
"ENSG00000002745"	2.00	4.00	3.00	1.00	3.00
"ENSG00000002746"	43.00	12.00	60.00	62.00	10.00
"ENSG00000002822"	578.93	534.00	1296.29	459.10	496.08
"ENSG00000002834"	7388.00	3318.00	8372.00	9277.00	3257.00
"ENSG00000002919"	495.00	514.00	1000.00	505.00	472.00
"ENSG00000002933"	0.00	0.00	0.00	0.00	0.00
"ENSG00000003056"	3033.98	3850.33	10209.09	2728.54	3929.10
"ENSG00000003096"	0.00	468.00	1033.00	0.00	399.00
"ENSG00000003137"	834.00	5.00	12.00	717.00	3.00
"ENSG00000003147"	132.00	183.00	448.00	164.00	247.00
"ENSG00000003249"	337.00	230.00	783.00	282.00	313.00
"ENSG00000003393"	1150.00	665.00	1397.00	1014.00	613.00
"ENSG00000003400"	429.00	92.00	288.00	651.00	87.00
"ENSG00000003402"	1250.18	346.36	905.92	2602.80	490.99
"ENSG00000003436"	2116.00	0.00	0.00	2405.00	0.00
