"Term","Ontology","set.mean","set.size","z.score","genes"
"GO:1905818","regulation of chromosome separation","BP",27.5469083306597,73,19.4547047558812,"9787;891;699;10403;991;7756;9918;5347;3550;11065;64151;332;7272;10051;701;55143;23397;83540;3619;4085;26271;5885;1063;11130;57405;8452;9700;57082;5359;9212;54908;10592;286053;324;56984;23310;9183;54892;147841;7517;51143;9184;4926;25906;51451;9587;51434;1843;10459;84861;8881;8697;55743;9319;83903;29781;5925;55795;8379;1459;1457;348654;55055;51529;225689;118471;56155;55755;84101;9735;472;7175;51433"
"GO:0000070","mitotic sister chromatid segregation","BP",18.6165906338011,182,19.2752728821622,"9787;891;699;9055;84722;10403;991;7756;10615;9918;5347;22974;3550;29127;11065;64151;332;2491;3833;7272;24137;10051;3832;983;701;55143;9493;23397;51203;83540;3303;3619;4085;3192;26271;90417;5885;22919;1063;5901;9928;10274;3835;11130;57405;5518;11004;8452;9700;57082;91272;440145;9212;10524;54908;10592;286053;146909;10735;1060;387;324;4751;56984;81930;23310;25936;92421;9183;8467;283489;1062;91782;3304;54892;9126;147841;7517;51143;9184;4926;25906;56647;51451;126731;51652;9587;8766;51434;126353;113130;23636;1843;10459;2316;54984;84142;84861;8881;729440;8697;144165;79003;54617;9371;49856;8850;9639;9319;79598;81929;3837;83903;10270;29781;7283;5925;55795;8379;79980;4733;81620;23332;23063;79884;11044;10300;152185;5119;3796;148479;348654;4605;55055;26993;8086;11200;64105;51529;29082;8243;27175;118471;9525;56155;55755;128866;26073;256364;84101;79643;129563;2801;7273;23212;10540;23172;26065;51115;10726;27436;27183;90990;9735;472;3834;6795;7175;8678;9031;10464;23122;25836;25978;27243;51433;51510;55125;57132;79998;285643;387893"
"GO:0051304","chromosome separation","BP",25.49013922624,80,18.613387952406,"9787;891;699;10403;991;7756;9918;5347;3550;11065;64151;332;7272;10051;701;55143;23397;83540;3619;4085;26271;5885;1063;11130;57405;5518;8452;9700;57082;5359;9212;54908;10592;286053;324;56984;23310;9183;54892;147841;7517;51143;9400;9184;4926;25906;51451;9587;51434;1843;10459;130951;84861;8881;7156;8697;55743;9319;83903;29781;5925;55795;8379;1459;338657;1457;348654;55055;51529;225689;118471;56155;55755;84101;129563;9735;472;7175;51433;56916"
"GO:0000819","sister chromatid segregation","BP",16.7412097980946,221,18.5908798773232,"9787;891;699;9055;84722;10403;991;7756;7153;10615;9918;5347;22974;3550;29127;11065;64151;332;2491;3833;7272;24137;10051;3832;983;701;55143;9493;23397;51203;10460;83540;3303;3619;7155;4085;3192;26271;90417;5885;22919;1063;996;5901;9928;10274;3835;11130;57405;29882;5518;11004;8452;9700;57082;91272;440145;9212;10524;9113;54908;10592;60;286053;146909;10735;1060;387;324;4751;56984;81930;23310;86;6605;25936;92421;9183;8467;283489;1062;91782;3304;54892;9275;9126;147841;7517;51143;6595;9184;4926;6604;25906;56647;10783;51451;126731;51652;9587;8766;51434;126353;113130;23636;1843;10459;2316;54984;84142;84861;8881;729440;8697;29117;144165;79003;54617;55743;6599;9371;49856;8850;9639;6602;9319;79598;81929;6597;3837;83903;10270;990;196528;29781;7283;5925;55795;5977;8379;79980;4733;81620;9274;23332;23063;79884;11044;57520;6601;10300;152185;5119;3796;148479;348654;51776;4605;55055;26993;8086;11200;64105;51529;6598;55274;29082;8243;27175;225689;118471;9525;56155;55755;128866;26073;256364;84101;79643;55781;129563;605;2801;7273;116028;23212;10540;23172;26065;29945;51115;10726;27436;27183;90990;9735;472;3834;6603;6795;7175;8110;8193;8289;8678;9031;10464;23122;25836;25978;27243;51433;51510;55125;55193;57132;57492;64682;79998;285643;387893"
"GO:0140014","mitotic nuclear division","BP",15.3081445655883,271,18.3510789718797,"9787;891;6790;699;9055;84722;10403;991;7756;10615;54443;9918;5347;157313;22974;3550;29127;11065;64151;332;2491;4288;3833;655;7272;24137;10051;3832;983;701;55143;9493;23397;51203;79866;83540;3303;3619;4085;3192;26271;90417;5885;8815;22919;1063;5901;9928;10274;3835;11130;57405;23113;5518;54820;11004;995;8452;9700;57082;91272;1027;440145;9212;9585;10524;54908;10592;22933;286053;146909;10735;1060;387;324;4751;56984;81930;23310;25936;92421;9183;8467;146691;283489;1062;91782;25970;3304;54892;27338;55968;9126;54461;137886;7039;1950;147841;1111;7517;10201;51143;6152;5300;9184;4926;25906;56647;51451;5155;3552;55023;126731;51652;10600;9587;4041;8766;652;51434;126353;113130;23636;1843;28984;10459;1104;2316;4781;54984;10040;84142;84861;8881;9088;729440;4774;5902;8697;144165;79003;54617;8877;9371;27085;49856;8850;9639;200942;9319;79598;81929;3837;83903;10270;84687;29781;7283;64793;5925;55795;23141;26013;9150;10361;685;3643;998;255324;8379;8556;79980;83987;4733;148362;81620;10419;23332;23063;11331;79884;1906;11044;10300;152185;3553;7329;5119;3796;148479;348654;4605;81565;55055;26993;8086;6683;11200;64105;51547;8555;51529;23363;29082;8243;27175;221035;2069;118471;80346;9525;56155;55755;128866;1028;9820;26073;256364;84101;79643;129563;1761;2801;7273;23212;10540;23172;55512;57026;858;26065;51115;10726;27436;27183;90990;9735;472;940;1613;1814;1908;2059;2253;3209;3479;3481;3834;4762;5159;6795;7124;7175;8678;9031;10464;23122;25836;25978;27243;51433;51510;54998;55125;55844;57132;79998;168448;285643;286151;387893"
"GO:0010965","regulation of mitotic sister chromatid separation","BP",28.6724283323067,59,18.3081477542659,"9787;891;699;10403;991;7756;5347;3550;11065;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;8452;9700;57082;9212;54908;286053;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;51434;1843;10459;84861;8881;8697;9319;83903;5925;55795;8379;348654;55055;51529;118471;56155;55755;84101;9735;472;7175;51433"
"GO:0051306","mitotic sister chromatid separation","BP",27.5915781125473,62,17.9571182400925,"9787;891;699;10403;991;7756;5347;3550;11065;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;5518;8452;9700;57082;9212;54908;286053;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;51434;1843;10459;84861;8881;8697;9319;83903;29781;5925;55795;8379;348654;55055;51529;118471;56155;55755;84101;129563;9735;472;7175;51433"
"GO:0098813","nuclear chromosome segregation","BP",14.3400494933151,302,17.7726951507576,"9787;891;6790;699;9055;84722;10403;991;7756;7153;10615;9918;5347;22974;57820;3550;29127;81610;11065;64151;332;2491;9133;3833;7272;24137;10051;3832;983;701;55143;9493;23397;51203;9232;10460;83540;1894;3303;3619;7155;4085;3192;26271;90417;5885;22919;1063;996;5901;259266;9928;10274;3835;11130;7013;57405;29882;5518;11004;8452;9700;57082;10097;91272;440145;9212;10524;9113;54908;10592;60;22933;286053;146909;10735;1060;387;324;4751;56984;151648;81930;55706;23310;86;10096;6605;25936;92421;9183;5728;8467;10919;283489;1062;91782;3304;54892;9275;9126;55920;284071;192670;147841;7517;51143;6595;9184;4926;6604;25906;56647;2177;10783;51451;126731;51652;9587;83990;8766;51434;126353;113130;23636;1843;10459;84072;2316;130951;54984;9134;84142;84861;8881;729440;8697;29117;144165;79003;54617;55743;6599;9371;49856;8850;9639;6602;1642;9897;4361;200942;9319;79598;81929;6597;3837;10388;83903;10270;990;196528;1778;10609;29781;7283;5925;55795;55201;5977;998;8379;898;79980;256006;4733;81620;9274;23332;23063;79884;7917;11044;57520;6601;25879;254528;10300;152185;5119;3796;148479;348654;29893;51776;4605;84057;55063;55055;26993;11243;8086;11200;64105;51547;100130958;51529;6598;55274;27030;29082;8243;27175;225689;118471;9525;56155;285498;55755;128866;158401;147872;26073;256364;84101;79643;55166;55781;129563;605;10734;2801;7273;116028;23212;10540;23172;245711;150465;26065;29945;51115;10726;27436;27183;90990;9735;472;1731;2669;3834;4292;4438;4439;6603;6795;6847;7175;7320;8110;8193;8289;8678;9031;9985;10464;10744;11144;23122;23353;23626;25836;25978;27243;51112;51433;51510;51759;55125;55193;56154;56158;56159;56776;56979;57132;57492;64682;79998;84944;93426;256126;283129;283847;285643;317761;339834;347688;387893;644186;100507650;101928601"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","BP",18.0911809140575,161,17.4802327148395,"9787;891;6790;7415;9055;84722;10403;991;7756;5347;22974;29127;332;26086;3833;7272;24137;3832;983;55143;9493;51203;10460;79866;29899;83540;3303;3619;4085;89958;3192;10579;1058;22919;5901;10274;3925;57405;387755;54820;9793;9700;1213;440145;9212;5310;10524;54908;25777;10735;387;4751;84080;92421;9183;2697;6491;1062;91782;3304;55968;9126;137886;6867;4926;56647;10783;8658;284403;10769;126731;51652;8766;126353;23636;1639;1104;5116;23291;2316;6905;84142;1263;729440;10671;144165;162282;51119;9371;49856;9639;6993;79598;3837;1778;10039;7283;55201;57562;5048;4733;23332;79884;5080;5524;4204;55726;152185;5119;3796;79187;4605;10253;81565;163786;8086;6683;11200;4134;10252;29082;8243;27175;9525;55755;128866;26073;256364;64946;79643;55835;8480;2801;3064;10540;23172;26065;2009;79648;51115;10726;90990;2255;2770;3688;5314;6795;7175;8841;10464;23122;25978;27243;29072;51510;55125;57132;79998;83541;114327;285643"
"GO:0007059","chromosome segregation","BP",12.5683730387133,413,17.3790802345119,"9787;891;6790;699;9055;84722;10403;991;7756;7153;10615;9918;5347;157313;22974;57820;3550;29127;81610;11065;8780;64151;332;2491;4288;9133;3833;7272;24137;1654;10051;151246;3832;983;701;55143;9493;23397;51203;203068;9232;10460;29899;11339;83540;1894;3303;3619;7155;4085;3192;26271;90417;5885;7405;22919;1063;55355;996;387103;5901;259266;9928;10274;3835;11130;157570;7013;57405;348235;9698;29882;5518;54820;11004;8452;9700;57082;10097;91272;5359;7150;440145;9212;26054;10524;9113;54908;10592;60;22933;10664;286053;146909;10735;1060;387;324;4751;115106;56984;151648;81930;55706;23310;86;10096;6605;11011;25936;92421;9183;5728;8467;114791;10919;6491;55732;283489;56271;1062;91782;221150;440270;3304;54892;9275;55839;9126;55920;93323;284071;192670;147841;127829;7517;51143;6595;79172;9400;9184;4926;6604;25906;56647;2177;10783;8658;51451;292;126731;51652;9587;83990;8766;64210;22924;51434;126353;113130;23636;83852;1843;81027;23015;10459;1104;8940;84072;26112;84191;23421;79023;2316;130951;6188;54984;9134;84142;84861;2959;8881;80254;729440;7156;8697;29117;144165;79003;54617;55743;378708;6599;9371;49856;8850;9639;6602;1642;9897;4361;200942;9319;79598;81929;29901;6597;3837;10388;83903;84445;10270;990;196528;23383;1778;10609;1453;29781;7283;64793;5925;55795;79903;56852;55201;5977;998;8379;10982;898;79980;91687;79682;256006;4733;81620;9274;9611;23332;1459;23063;201254;79884;7917;11044;57520;6601;25879;10426;254528;55207;10300;152185;338657;7329;1457;5119;3796;23137;148479;348654;29893;54069;51776;27229;79019;4605;84057;55063;2908;9391;51647;81565;163786;401541;55055;54930;26993;11243;8086;11200;64105;51547;9874;100130958;51529;79677;6598;55274;27030;29082;8243;27175;225689;672;118471;54801;9525;56155;285498;55755;79441;6047;128866;158401;147872;26073;256364;64946;84101;79643;55166;55781;129563;55142;605;55835;10734;2801;10636;7273;116028;23212;10540;23172;245711;6732;150465;55559;26065;29945;2068;220134;51115;10726;27436;27183;90990;9735;8239;23354;472;1731;2669;3834;4292;4438;4439;6603;6795;6847;7175;7320;8110;8193;8289;8678;8841;9031;9985;10464;10744;10844;11144;23122;23353;23369;23626;25836;25978;27243;28989;51112;51433;51510;51759;55125;55193;56154;56158;56159;56776;56916;56979;57132;57492;57519;64682;79998;80152;84944;85378;93426;140609;256126;283129;283768;283847;285643;317761;339834;347688;348995;387893;642636;644186;653061;729786;100132979;100507650;100533997;101928601"
