"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"AAGAB","AARS1","AAGAB","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AAGAB","AARS1","AAGAB","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","AARS1","ABCF3","ABCF3","ACSS2","ACSS2","TXNIP","AAGAB","AAGAB","ACSS2","ACSS2","TXNIP","ABCA5","ABCC10","TXNIP","ATF4","TXNIP","AAGAB","ABCA12","AAGAB","ABCD3","","AAGAB","ABCA12","AAGAB","ABCB6","","AAGAB","ABCA12","AAGAB","ABCB6","ABCD3"
"AAK1","ABCA12","AAK1","ABCB6","ABCD3","ADM2","ABCA12","ABCA12","ABCA12","ABCB6","ABCD3","ADM2","AAK1","ABCA12","AAK1","ABCB6","ABCD3","ADM2","ABCB6","ABCB6","ABCB6","ABCB6","ACSS2","ADM2","ABCD3","ABCD3","ABCD3","ACSS2","ABCD3","ADM2","ADM2","ADM2","ADM2","ADM2","ADM2","ADM2","ACADSB","ABCG1","ARG2","ANKRD11","","AAK1","AAK1","ARG2","ANKRD11","","ABCB8","ABCD4","","CNPPD1","","AAK1","ABCB7","AAK1","ACSL3","","AAK1","ABCB6","AAK1","ABCC3","","AAK1","ABCB6","AAK1","ABCC3","ACSL3"
"AARS1","ABCB6","AARS1","ABCC3","ACSL3","CHAC1","ABCB6","ABCB6","ABCB6","ABCC3","ACSL3","CHAC1","AARS1","ABCB6","AARS1","ABCC3","ACSL3","CHAC1","ABCC3","ABCC3","ABCC3","ABCC3","ADM2","CHAC1","ACSL3","ACSL3","ACSL3","ADM2","ACSL3","CHAC1","CHAC1","CHAC1","CHAC1","CHAC1","CHAC1","CHAC1","ADAMTS10","ABLIM1","CBLC","ATF4","","ABCA5","ABCG1","BRD8","ARHGEF17","","ABCC10","ABHD8","","GPATCH1","","ABCA12","ABCC10","ABCA12","ALDH1L2","","ABCA12","ABCB7","ABCA12","AP3M2","","ABCA12","ABCB7","ABCA12","ACSS2","ACSS2"
"ABCA12","ABCB7","ABCA12","ADM2","ADM2","DDIT3","ABCB7","ABCB7","ABCB7","ADM2","ADM2","DDIT3","ABCA12","ABCB7","ABCA12","ACSS2","ACSS2","DDIT3","ADM2","ADM2","ACSS2","ACSS2","AKNA","DDIT3","ADM2","ADM2","ACSS2","AKNA","ACSS2","DDIT3","DDIT3","DDIT3","DDIT3","DDIT3","DDIT3","DDIT3","ADAMTSL3","ABRACL","DTD1","CCDC92","","ABCB8","ABHD14B","CBLC","ATF4","","ABCD4","ABL1","","JDP2","","ABCA5","ABCD3","ABCB7","ANKRD11","","ABCA5","ABCC10","ABCB6","ARG2","","ABCA5","ABCC10","ABCB6","AKNA","AKNA"
"ABCA5","ABCC10","ABCB6","AKNA","AKNA","INHBE","ABCC10","ABCC10","ABCC3","AKNA","AKNA","INHBE","ABCB6","ABCC3","ABCB6","ADM2","ADM2","INHBE","AKNA","AKNA","ADM2","ADM2","ALAS1","INHBE","AKNA","AKNA","ADM2","ALAS1","ADM2","INHBE","INHBE","INHBE","INHBE","INHBE","INHBE","INHBE","ARAP3","ABRAXAS1","GBF1","CEP120","","ABHD14B","ABI2","CGN","CCDC92","","ABHD8","ABR","","MTCL2","","ABCB7","ABCD4","ABCD3","ANLN","","ABCB6","ABCC3","ABCB7","ASNSP1","","ABCB6","ABCC3","ABCB7","ALAS1","ALAS1"
"ABCB6","ABCC3","ABCB7","ALAS1","ALAS1","KCNG1","ABCC3","ABCC3","ABCD3","ALAS1","ALAS1","KCNG1","ABCB7","ABCD3","ABCB7","AKNA","AKNA","KCNG1","ALAS1","ALAS1","AKNA","AKNA","ASNS","KCNG1","ALAS1","ALAS1","AKNA","ASNS","AKNA","KCNG1","KCNG1","KCNG1","KCNG1","KCNG1","KCNG1","KCNG1","ARCN1","ABTB1","H3C14","CNPPD1","","ABI2","ABLIM1","DGKD","CEP120","","ABL1","ACADSB","","ND2","","ABCB8","ABCF3","ABCF3","AP1G1","","ABCB7","ABCD4","ABCC3","BMP7","","ABCB7","ABCD3","ABCC3","AP3M2","ALDH1L2"
"ABCB7","ABCD3","ABCC3","AP3M2","ALDH1L2","NUPR1","ABCD3","ABCD3","ABCF3","AP3M2","ALDH1L2","NUPR1","ABCC3","ABCF3","ABCC3","ALAS1","ALAS1","NUPR1","AP3M2","AP3M2","ALAS1","ALAS1","BEX2","NUPR1","ALDH1L2","ALDH1L2","ALAS1","BEX2","ALAS1","NUPR1","NUPR1","NUPR1","NUPR1","NUPR1","NUPR1","NUPR1","ARHGEF3","ACAA1","LMO4","DIDO1","","ABTB2","ABRACL","DOCK6","CNPPD1","","ABR","ACD","","TNS2-AS1","","ABCC10","ABHD8","ABCG1","ARHGEF17","","ABCB8","ABCF3","ABCF3","BRD8","","ABCB8","ABCD4","ABCD3","ARG2","ANKRD11"
"ABCB8","ABCD4","ABCD3","ASNS","ANLN","SLC7A11","ABCD4","ABCD4","ACAD11","ASNS","ANLN","SLC7A11","ABCD3","ACAD11","ABCD3","AP3M2","ALDH1L2","SLC7A11","ASNS","ASNS","AP3M2","AP3M2","BLTP3A","SLC7A11","ANLN","ANLN","ALDH1L2","BLTP3A","ALDH1L2","SLC7A11","SLC7A11","SLC7A11","SLC7A11","SLC7A11","SLC7A11","SLC7A11","ARMC1","ACACA","MGST1","DOLK","","ACAA2","ABRAXAS1","DTD1","DIDO1","","ABTB2","ACOT13","","TXNIP","","ABCD3","ABL1","ABHD14B","ARHGEF2","","ABCC10","ABHD8","ABCG1","CBLC","","ABCC10","ABCF3","ABCF3","ASNS","ANLN"
"ABCC10","ABHD8","ABHD14B","ASNSP1","AP1G1","TUBE1","ABHD8","ABCF3","ACAP2","ASNSP1","AP1G1","TUBE1","ABHD14B","ACAP2","ABCF3","ARG2","ANKRD11","TUBE1","ASNSP1","ASNSP1","ARG2","ARG2","CALCB","TUBE1","AP1G1","AP1G1","ANKRD11","CALCB","ANKRD11","TUBE1","TUBE1","TUBE1","TUBE1","TUBE1","TUBE1","TUBE1","ARRDC3-AS1","ACBD7","NQO1","EDC4","","ACAD9","ABTB1","EHD1","DOLK","","ACAT1","ACP1","","ZNF516","","ABCD4","ABR","ABI2","ATF4","","ABCC3","ABL1","ABHD14B","CCT2","","ABCC3","ABHD8","ABCG1","ASNSP1","AP1G1"
"ABCC3","ABL1","ABI2","BEX2","ARHGEF17","","ABL1","ABHD8","ACAT2","BEX2","ARHGEF2","","ABI2","ACAT2","ABCG1","ASNS","ANLN","","BEX2","BEX2","ASNS","ASNS","CARS1","TXNIP","ARHGEF17","ARHGEF2","ANLN","CARS1","ANLN","TXNIP","","","","TXNIP","TXNIP","TXNIP","ATP6V1D","ACIN1","PAQR5","EIF2S2","","ACAT1","ACAA1","GBF1","EDC4","","ACD","ACSF2","","ZNF530","","ABHD14B","ACAD11","ABLIM1","BAG3","","ABCD4","ABR","ABI2","CGN","","ABCD3","ABL1","ABHD14B","BEX2","ARHGEF17"
