"h48.45vsD","h48.30vsD","h24.45vsD","h24.30vsD","h8.45vsD","h8.30vsD"
"A1BG",0.432907034981173,0.432907034981173,0.432907034981173,0.432907034981173,0.432907034981173,0.432907034981173
"A1BG-AS1",0.457040924408946,0.457040924408946,0.457040924408946,0.457040924408946,0.457040924408946,0.457040924408946
"A1CF",NA,NA,NA,NA,NA,NA
"A2M",NA,NA,NA,NA,NA,NA
"A2M-AS1",NA,NA,NA,NA,NA,NA
"A2ML1",0.679522143418316,0.679522143418316,0.679522143418316,0.679522143418316,0.679522143418316,0.679522143418316
"A3GALT2",NA,NA,NA,NA,NA,NA
"A4GALT",0.750113981542998,0.750113981542998,0.750113981542998,0.750113981542998,0.750113981542998,0.750113981542998
"A4GNT",NA,NA,NA,NA,NA,NA
"AAAS",0.689506476694511,0.689506476694511,0.689506476694511,0.689506476694511,0.689506476694511,0.689506476694511
"AACS",0.011304954066234,0.011304954066234,0.011304954066234,0.011304954066234,0.011304954066234,0.011304954066234
"AACSP1",NA,NA,NA,NA,NA,NA
"AADAC",NA,NA,NA,NA,NA,NA
"AADACL2",NA,NA,NA,NA,NA,NA
"AADACL3",NA,NA,NA,NA,NA,NA
"AADACP1",0.849172222270797,0.849172222270797,0.849172222270797,0.849172222270797,0.849172222270797,0.849172222270797
"AADAT",0.463682518667744,0.463682518667744,0.463682518667744,0.463682518667744,0.463682518667744,0.463682518667744
"AAGAB",0.0034121214615205,0.0034121214615205,0.0034121214615205,0.0034121214615205,0.0034121214615205,0.0034121214615205
"AAK1",0.00115711640834337,0.00115711640834337,0.00115711640834337,0.00115711640834337,0.00115711640834337,0.00115711640834337
"AAMDC",0.78013784963875,0.78013784963875,0.78013784963875,0.78013784963875,0.78013784963875,0.78013784963875
"AAMP",0.650488709963316,0.650488709963316,0.650488709963316,0.650488709963316,0.650488709963316,0.650488709963316
"AANAT",1,1,1,1,1,1
"AAR2",0.15766166299607,0.15766166299607,0.15766166299607,0.15766166299607,0.15766166299607,0.15766166299607
"AARD",1,1,1,1,1,1
"AARS1",2.48570114597594e-22,2.48570114597594e-22,2.48570114597594e-22,2.48570114597594e-22,2.48570114597594e-22,2.48570114597594e-22
"AARS2",0.589775037104903,0.589775037104903,0.589775037104903,0.589775037104903,0.589775037104903,0.589775037104903
"AARSD1",0.66865467609733,0.66865467609733,0.66865467609733,0.66865467609733,0.66865467609733,0.66865467609733
