"Term","Ontology","set.mean","set.size","z.score","genes"
"GO:0098687","chromosomal region","CC",0.448979591836735,392,10.6801886045347,"60;86;142;324;328;332;641;699;701;891;983;989;991;1017;1051;1058;1060;1062;1063;1108;1111;1452;1639;1763;1786;2072;2145;2146;2237;2332;2491;2547;3012;3014;3020;3066;3181;3192;3297;3619;3835;4085;4172;4173;4174;4175;4221;4436;4659;4735;4751;4928;4998;5000;5111;5347;5431;5501;5515;5518;5884;5885;5928;5931;6117;6396;6605;6741;6790;7011;7013;7153;7158;7272;7405;7486;7514;7517;7520;7756;8467;8520;8563;8655;8658;8970;9126;9183;9184;9212;9682;9793;9918;9984;10051;10111;10274;10403;10524;10615;10635;10664;10728;10735;10769;10910;10951;11004;11130;11258;11335;11339;22933;23028;23047;23310;24144;25777;25936;51111;51143;51652;54386;54820;54821;54908;55135;55143;55226;55320;55355;55732;55746;55791;55839;55920;57082;57122;57405;64151;65057;79035;79172;79577;79618;79902;80119;80145;80169;81930;83540;84256;84295;84321;90417;91272;91782;92421;113130;114991;115426;119504;121504;134492;147841;151246;151648;157570;197370;221150;253635;283489;286053;348235;387103;100134934;472;545;546;675;1059;1263;1616;1642;1780;1783;1788;2067;2959;3018;3021;3070;3104;3981;4171;4176;4361;4683;4999;5001;5048;5119;5253;5314;5371;5424;5499;5500;5514;5516;5525;5527;5591;5663;5664;5813;5888;5892;5905;5976;6118;6249;6597;6598;6599;6601;6602;6603;6612;6615;6672;6795;6839;6847;6990;7012;7014;7015;7175;7515;8243;8290;8294;8335;8359;8360;8361;8362;8363;8364;8365;8366;8367;8368;8370;8379;8850;9025;9031;9219;9401;9555;9735;9770;9878;9894;9985;10189;10320;10428;10540;10671;10734;11016;11143;11144;11177;11200;11243;23063;23064;23081;23122;23137;23157;23219;23244;23279;23291;23293;23332;23347;23353;23421;23468;23595;23626;25909;25913;25942;25978;25983;26039;26277;27085;27127;27243;27309;29082;29117;29935;50511;51112;51164;51490;51510;51548;51750;51759;54069;54107;54108;54433;54780;54984;55055;55166;55183;55193;55274;55506;55651;55655;55693;55719;56155;56160;56897;57132;57187;57459;64105;64769;64858;64859;64946;65986;79003;79019;79023;79075;79228;79643;79677;79682;79723;79980;79991;80152;80335;80351;81565;81620;81929;84148;84250;84464;84516;84787;91687;92822;128866;147872;152485;170506;196528;201161;201254;201516;220134;221711;222229;245711;283129;283847;284058;284257;348995;378708;401541;493861;554313"
"GO:0008380","RNA splicing","BP",0.429223744292237,438,10.3033398646812,"421;988;1653;1660;1665;2081;2332;2483;2521;2926;3178;3181;3183;3185;3187;3188;3190;3191;3192;3303;3312;3550;4154;4236;4670;4686;4691;4841;4869;4928;5356;5430;5515;5518;5725;5935;5936;6100;6421;6426;6427;6428;6431;6432;6434;6625;6626;6627;6628;6629;6632;6634;6635;6636;6637;6651;6733;6830;7490;7536;7919;8087;8161;8563;8882;8899;8996;9129;9130;9295;9360;9406;9410;9416;9541;9588;9716;9775;9879;9913;9939;9967;9984;10078;10137;10181;10199;10212;10236;10250;10262;10284;10285;10291;10432;10450;10465;10492;10594;10625;10656;10657;10772;10915;10946;10978;11066;11319;11338;22827;22889;22916;22938;22985;23028;23091;23210;23326;23435;23450;23451;23517;24144;24148;25766;25940;25962;26986;27257;27258;27316;27332;27336;29890;29896;51163;51202;51319;51340;51493;51574;51631;51729;51747;54407;54496;54845;54957;54960;55094;55596;55660;55677;55692;56259;56943;56949;57060;57703;57721;57805;59286;64863;79005;79026;79622;79753;79833;80004;80145;81576;81669;83443;83759;84321;84950;91746;93624;112869;116461;146713;199746;220988;283742;284695;339487;494115;642659;676;708;1153;1195;1196;1198;1207;1655;1659;1859;1996;2334;2648;3167;3189;3276;3958;4116;4654;4809;4857;4858;4904;5295;5411;5511;5978;6207;6231;6314;6429;6430;6433;6606;6631;6633;6638;6732;6880;6881;6883;6936;7009;7072;7307;7310;7375;7737;8148;8175;8220;8227;8233;8241;8295;8449;8458;8464;8487;8559;8570;8621;8683;8850;8896;9092;9128;9169;9343;9419;9444;9513;9584;9589;9733;9785;9904;9991;10081;10084;10147;10150;10179;10180;10189;10283;10286;10419;10421;10474;10521;10569;10629;10658;10659;10713;10891;10907;10921;10922;10929;10992;11017;11129;11157;11168;11171;11189;11193;11218;22794;22913;22927;23020;23064;23076;23398;23524;23543;23658;23759;25804;25862;25929;25949;25980;26121;26528;26576;26993;27097;27238;27288;27339;28960;50628;51329;51341;51362;51428;51503;51634;51637;51639;51645;51690;51691;51755;51759;53938;54033;54502;54517;54715;54883;55015;55051;55110;55119;55131;55147;55192;55234;55280;55285;55544;55578;55599;55696;55702;55796;55954;56339;56853;56970;57018;57035;57187;57396;57461;57716;57794;57819;58155;58506;58509;58517;60625;60677;60680;64121;64783;79042;79066;79074;79084;79171;79228;79637;79650;79706;79760;80324;80746;83707;83989;84060;84081;84292;84530;84687;84811;84844;84872;84881;84967;84991;85437;91603;92906;94104;96764;113146;117143;118924;135295;139804;140432;140890;143884;144983;148756;151987;153527;154007;163859;221662;282996;283375;283989;285672;285962;286676;338657;375316;387597;389677;392517;404266;105378616"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","BP",0.424778761061947,452,10.2420367029499,"207;324;329;406;408;550;811;899;991;996;997;1017;1047;1452;1454;1499;1649;2729;2932;3077;3303;3304;3309;3326;4092;4121;4130;5094;5193;5347;5682;5683;5684;5685;5686;5688;5689;5690;5692;5693;5694;5700;5701;5702;5706;5707;5708;5709;5713;5716;5717;5718;5719;5886;6400;6451;6468;6477;6478;6500;6502;6613;6790;6872;6907;6923;7184;7323;7334;7345;7353;7415;7428;7466;7514;7706;8078;8312;8313;8452;8453;8454;8473;8554;8667;9097;9112;9147;9320;9373;9491;9529;9604;9709;9861;9867;9928;9978;10116;10210;10213;10221;10296;10399;10425;10444;10524;10616;10952;10956;11011;11059;11065;11146;11315;22933;23053;23197;23220;23321;23376;23392;25820;25831;25847;25906;26234;26273;27338;28951;29882;29978;29979;29997;51105;51322;51434;51514;51528;51667;54431;54461;54467;54476;55122;55527;55658;55741;55872;55968;56658;57162;57630;57761;57805;64326;64777;79016;79089;79139;79718;80020;80176;81858;83737;84078;84164;84447;84961;90637;90850;90864;91147;91445;91544;92305;115290;117584;119504;122809;126433;127544;130507;137886;149603;153769;200933;201595;253980;254170;255488;285671;267;369;409;819;821;857;863;1050;1161;1191;1263;1453;1601;1642;1855;2272;2295;2629;2768;2931;3093;3300;3429;4189;4193;4287;4534;4669;4780;5071;5192;5371;5516;5527;5601;5663;5687;5691;5695;5704;5705;5710;5714;5887;5988;6047;6048;6135;6449;6469;6599;6815;6880;7126;7319;7320;7321;7326;7327;7328;7337;7341;7480;7844;7874;7917;7993;8065;8239;8405;8451;8697;8881;8924;8945;9325;9354;9575;9618;9655;9683;9695;9781;9817;9921;10134;10206;10273;10277;10297;10299;10393;10475;10513;10612;10613;10755;10869;10905;10973;11047;11060;11124;11160;11253;11337;22836;23008;23190;23194;23291;23304;23327;23411;23429;23510;23532;23588;23640;25793;25827;25852;25853;25879;25897;25898;25937;26043;26046;26133;26224;26232;26233;26235;26249;26259;26263;26268;26270;26272;27248;27252;27351;29945;30009;50613;51009;51035;51185;51283;51343;51377;51433;51439;51465;51529;51548;51676;54442;54546;54620;54850;54994;55070;55101;55139;55212;55284;55294;55298;55336;55432;55626;55666;55743;55829;56893;56929;57003;57092;57134;57154;57414;57542;64682;64750;64795;64839;65992;79018;79176;79654;79699;79734;79791;79845;80028;80196;80232;80263;80267;80311;80344;81545;83590;83844;83892;84101;84640;84727;84861;84937;85409;89890;90025;90865;91319;92369;93611;114088;116138;116224;116988;118424;120892;122416;122773;125972;127733;130617;131377;131405;143941;144165;144699;146330;147686;148066;150684;154214;165324;166979;196394;197131;222235;223082;246184;258010;283514;283807;285533;339745;342897;344558;378884;387921;440561;493829;554251;101927423"
"GO:0007346","regulation of mitotic cell cycle","BP",0.411157024793388,484,9.88163131612936,"25;60;86;90;207;324;332;351;440;580;595;641;652;655;677;694;699;701;891;983;991;993;994;995;996;1017;1019;1026;1027;1030;1031;1032;1062;1063;1111;1163;1164;1499;1543;1620;1654;1843;1845;1950;1956;1977;1978;1981;2071;2146;2177;2290;2619;3192;3297;3306;3398;3550;3552;3619;3624;4041;4085;4212;4288;4331;4436;4751;4921;4998;5087;5155;5300;5310;5347;5356;5515;5728;5884;5885;5932;5962;6119;6154;6240;6241;6419;6461;6491;6595;6604;6605;6790;6868;7027;7039;7157;7161;7272;7517;7531;7756;7976;8450;8452;8729;8766;8870;8883;9099;9183;9184;9212;9275;9314;9368;9585;9587;9656;9700;9787;9928;10111;10201;10217;10296;10403;10459;10769;10783;10795;11065;11130;11170;11319;22933;23087;23113;23236;23326;23476;23636;25847;25906;25959;25970;26058;26271;28984;29882;29980;29997;51053;51143;51203;51322;51347;51434;51451;51512;51514;51692;51696;54443;54461;54908;55023;55143;55920;56257;56624;56658;56984;57082;57405;60672;65123;79027;79035;79577;79621;79866;80169;80198;83540;84446;84632;90381;90806;92421;113130;119504;131601;138151;146691;147841;157313;284071;286053;199;301;429;472;596;604;605;637;672;675;678;685;785;835;858;894;900;902;940;984;990;998;1018;1021;1022;1028;1029;1104;1112;1263;1386;1540;1613;1642;1739;1761;1814;1869;1877;1906;1908;2068;2069;2253;2255;2273;2296;3169;3209;3275;3280;3364;3373;3479;3481;3553;3586;3643;3741;4193;4204;4303;4361;4582;4683;4762;4824;5017;5048;5159;5311;5371;5514;5569;5578;5586;5591;5641;5720;5721;5727;5774;5777;5781;5883;5889;5890;5925;5933;5934;5977;5988;6118;6198;6347;6386;6597;6598;6599;6601;6602;6603;6777;6886;6990;7015;7023;7124;7175;7325;7465;7480;7508;7832;8110;8193;8289;8317;8328;8379;8451;8555;8556;8558;8697;8720;8738;8826;8841;8877;8881;9088;9274;9319;9344;9510;9525;9577;9735;9820;10011;10040;10106;10197;10263;10269;10361;10385;10393;10419;10457;10537;10950;11040;11073;11200;11277;11331;23026;23170;23276;23331;23363;23411;23513;25793;25942;25949;26013;26057;26060;26073;26574;27085;27133;27183;29086;29117;29766;29933;29945;50484;51065;51149;51339;51343;51360;51379;51433;51499;51529;51720;51754;51776;54475;54617;54766;54962;54984;54998;55031;55055;55145;55159;55193;55198;55274;55367;55512;55626;55726;55743;55755;55781;55795;55835;55904;56155;56475;57026;57099;57165;57492;57504;57520;57521;57551;57795;58190;58493;60561;63967;64094;64682;64848;64859;65975;79184;79791;79858;79915;79960;80174;80279;81853;83903;83987;84101;84142;84687;84861;84936;84967;91603;91607;91754;116224;118471;123879;126520;134353;135458;140609;144455;144715;146956;150094;150465;163786;163859;166863;168448;196528;197342;219736;246184;255324;255374;284001;286151;339479;345643;348654;415116;728642"
"GO:0006397","mRNA processing","BP",0.409381663113006,469,9.62990118417111,"103;351;421;580;677;988;1477;1479;1653;1660;1665;2081;2332;2483;2926;3178;3181;3183;3185;3187;3190;3191;3192;3297;3312;3550;4154;4236;4670;4686;4691;4841;4869;4928;5356;5566;5725;5935;5936;6294;6421;6426;6427;6428;6431;6432;6434;6625;6626;6627;6628;6629;6632;6634;6635;6636;6637;6651;6733;6830;7536;7919;8087;8161;8563;8732;8882;8899;8996;9129;9130;9295;9406;9410;9416;9541;9588;9667;9716;9775;9879;9939;9967;9984;10078;10181;10212;10236;10250;10262;10284;10285;10291;10432;10450;10465;10492;10594;10656;10657;10772;10914;10915;10946;10978;11051;11052;11066;11319;11338;22803;22827;22889;22916;22938;22985;23028;23091;23210;23248;23283;23435;23450;23451;23517;24144;24148;25766;25888;25962;26986;27257;27258;27316;27336;29890;29896;51163;51202;51319;51340;51574;51593;51631;51692;51729;51747;54496;54623;54845;54957;54960;55094;55339;55596;55660;55677;55692;55783;56259;56949;57060;57680;57703;57721;57805;58490;59286;60493;64282;79005;79577;79622;79753;79833;80004;80145;81576;83443;83759;84321;84950;91746;116461;123169;146713;199746;201626;220988;284695;494115;642659;104;333;676;708;984;1025;1153;1207;1478;1655;1659;1859;1996;2334;3167;3189;3958;4116;4654;4809;4857;4858;4904;5411;5433;5511;5930;5978;6041;6429;6430;6433;6606;6631;6633;6638;6732;6936;7072;7307;7310;7375;7737;7884;8106;8175;8189;8220;8227;8233;8241;8449;8458;8487;8559;8570;8621;8683;8731;8896;9092;9128;9169;9238;9343;9419;9444;9513;9584;9589;9733;9785;9904;9924;9991;10084;10147;10150;10179;10180;10189;10283;10286;10419;10421;10521;10569;10595;10658;10659;10713;10768;10891;10898;10907;10921;10929;10930;10949;10992;11017;11044;11129;11157;11168;11171;11189;11193;11218;22794;22828;22913;22927;22944;23020;23064;23070;23076;23144;23398;23524;23543;23658;23759;25804;25862;25929;25949;25980;26121;26528;26576;26993;26995;27037;27079;27238;27254;27288;27339;28960;29101;29894;29974;50628;51329;51341;51362;51428;51503;51585;51634;51639;51645;51690;51691;51755;51759;53938;53981;54033;54439;54502;54517;54715;54883;54890;55015;55051;55110;55119;55131;55147;55149;55192;55197;55234;55280;55285;55421;55544;55599;55696;55702;55796;55954;56339;56853;56931;57035;57187;57461;57794;57819;58155;58506;58509;58517;60625;60677;60680;64062;64506;64783;64852;64895;79042;79066;79084;79171;79228;79637;79706;79760;79810;79811;79869;79882;80324;80746;81608;83448;83640;83740;83989;84060;84081;84292;84530;84811;84844;84881;84967;84991;85437;87178;90826;91603;92906;94104;96764;118924;134353;135295;139804;140890;142940;143884;144983;148756;151987;153527;154007;163859;167153;170506;221662;246175;255374;255967;282996;283375;283989;285367;285672;285962;338657;353267;375316;392517;403314;404266;474381;474382;550643;728642;105378616"
"GO:0045787","positive regulation of cell cycle","BP",0.45016077170418,311,9.54109907651742,"25;207;332;351;387;440;595;699;811;891;896;983;991;993;994;995;1019;1111;1543;1654;1845;1894;1950;1956;1977;1978;1981;2146;2237;2263;2290;2735;3054;3192;3297;3306;3552;3619;3955;4041;4085;4212;4869;4882;4921;4926;5087;5155;5310;5356;5359;5469;5716;5885;5886;5914;5962;6240;6241;6461;6491;6604;6733;6737;6790;6868;7027;7039;7042;7051;7474;7517;7919;8061;8450;8452;8563;8766;8882;9099;9212;9236;9493;9585;9587;9700;9787;9918;9928;9984;10051;10403;10524;10592;10615;10635;10733;10926;11065;11113;22924;22933;23236;23310;23326;23397;23476;23636;25970;26271;26471;28984;29127;29899;51143;51203;51434;51514;51652;51692;54623;54892;55023;55143;55920;55968;56257;57787;64151;79577;79733;81610;84722;113130;137886;153241;221477;252983;284071;286053;199;301;429;546;643;675;685;894;940;990;998;1663;1761;1778;1813;1814;1906;1908;2069;2253;2255;3169;3209;3280;3373;3479;3480;3481;3553;3586;3643;3741;4040;4103;4193;4204;4487;4488;4762;4824;5017;5048;5159;5311;5336;5514;5578;5581;5586;5629;5641;5753;5781;5889;5890;5902;5925;6198;6210;6532;6665;6683;6755;6777;6795;6840;6885;6886;6909;6926;6990;7015;7101;7124;7175;7320;7325;7480;7564;8317;8379;8444;8451;8502;8555;8556;8558;8678;8697;8850;8877;8881;9371;9475;9510;9525;9555;10018;10361;10370;10755;10869;11105;11331;22954;23137;23276;25942;26057;26073;27085;29766;29781;49860;50484;50838;51289;51433;51529;51776;54361;54617;55124;55512;55719;55795;55835;55904;56852;56979;57057;57504;57521;58525;64094;64848;65125;65992;79447;79541;79677;79848;79915;80174;83695;84250;84967;85459;114821;118471;131870;134353;144455;150465;163786;166863;168448;201161;219736;219771;221908;225689;245711;255324;255374;256006;284001;346673;348654;388112;388553"
"GO:0140014","mitotic nuclear division","BP",0.464944649446494,271,9.48267059673414,"324;332;387;652;655;699;701;891;983;991;995;1027;1060;1062;1063;1111;1843;1950;2491;3192;3303;3304;3550;3552;3619;3832;3833;3835;4041;4085;4288;4751;4926;5155;5300;5347;5518;5885;5901;6152;6790;7039;7272;7517;7756;8452;8467;8766;8815;9055;9126;9183;9184;9212;9493;9585;9587;9700;9787;9918;9928;10051;10201;10274;10403;10459;10524;10592;10600;10615;10735;11004;11065;11130;22919;22933;22974;23113;23310;23397;23636;24137;25906;25936;25970;26271;27338;28984;29127;51143;51203;51434;51451;51652;54443;54461;54820;54892;54908;55023;55143;55968;56647;56984;57082;57405;64151;79866;81930;83540;84722;90417;91272;91782;92421;113130;126353;126731;137886;146691;146909;147841;157313;283489;286053;440145;472;685;858;940;998;1028;1104;1613;1761;1814;1906;1908;2059;2069;2253;2316;2801;3209;3479;3481;3553;3643;3796;3834;3837;4605;4733;4762;4774;4781;5119;5159;5902;5925;6683;6795;7124;7175;7273;7283;7329;8086;8243;8379;8555;8556;8678;8697;8850;8877;8881;9031;9088;9150;9319;9371;9525;9639;9735;9820;10040;10270;10300;10361;10419;10464;10540;10726;11044;11200;11331;23063;23122;23141;23172;23212;23332;23363;25836;25978;26013;26065;26073;26993;27085;27175;27183;27243;27436;29082;29781;49856;51115;51433;51510;51529;51547;54617;54984;54998;55055;55125;55512;55755;55795;55844;56155;57026;57132;64105;64793;79003;79598;79643;79884;79980;79998;80346;81565;81620;81929;83903;83987;84101;84142;84687;84861;90990;118471;128866;129563;144165;148362;148479;152185;168448;200942;221035;255324;256364;285643;286151;348654;387893;729440"
"GO:0098798","mitochondrial protein-containing complex","CC",0.454237288135593,295,9.4570020147494,"292;293;498;506;509;513;514;515;516;517;518;522;539;593;740;1329;1337;1340;1345;1347;1349;1350;1737;1738;3030;3313;4508;4509;4513;4514;4519;4535;4536;4537;4539;4540;4541;4694;4695;4696;4697;4698;4700;4702;4704;4706;4707;4709;4710;4711;4712;4718;4719;4722;4725;4729;5160;5162;5164;5245;6150;6183;6389;6391;6392;7381;7385;7386;7416;8802;9167;9551;9556;9692;9868;10240;10367;10440;10469;10476;10632;10651;10939;11222;23107;23479;25813;26517;26520;26521;28957;28998;29074;29090;29796;51023;51081;51103;51258;51263;51264;51318;51373;54148;54534;54931;54948;55052;55572;55669;56901;56945;57129;63931;64965;64968;64976;64983;65003;65080;79135;79590;84134;84419;92259;116540;118487;125988;134266;345778;387338;440574;100188893;100287932;291;521;581;594;617;1327;1346;1351;1537;1629;1678;2395;3028;3032;3396;3419;3420;3421;4512;4538;4580;4701;4705;4708;4713;4714;4715;4716;4717;4720;4723;4724;4726;4728;4731;5163;5428;5442;6182;6390;6687;6832;7384;7388;7818;8050;8801;9054;9377;9512;9553;9801;9804;10105;10245;10295;10452;10573;10845;10884;10975;10989;11232;11331;23203;25874;26515;26519;26589;27089;28973;28977;29088;29093;29103;29928;51021;51025;51069;51073;51079;51116;51253;51642;51649;51650;51660;54460;54539;54543;54927;54998;55013;55037;55168;55173;55735;55750;55967;56922;56964;56993;57128;60488;63875;63899;64087;64432;64928;64949;64951;64960;64963;64969;64975;64978;64979;64981;65005;65008;65993;78988;80273;83447;83943;84303;84311;84545;84701;84769;84833;87178;90480;90550;90580;91689;92609;116541;122704;124995;126328;128308;130916;131118;139322;140823;158234;196294;219927;221154;267020;286097;341947;374291;387990;400916;401505;440567;100532726;100652748;107075310"
"GO:0005819","spindle","CC",0.415094339622642,424,9.42906870388307,"207;292;332;351;403;701;801;805;808;891;983;989;991;994;996;1062;1063;1211;1213;1452;1499;1639;1729;1810;1894;2010;3161;3192;3297;3306;3315;3550;3619;3832;3833;3835;4085;4281;4735;4751;4869;4926;5303;5347;5423;5515;5594;5607;5885;6196;6790;6907;7013;7178;7272;7756;7803;8452;8655;8658;8766;9055;9113;9126;9181;9183;9212;9493;9585;9587;9657;9700;9787;9793;9928;10112;10210;10274;10296;10381;10382;10383;10459;10460;10524;10615;10735;10769;10783;10899;10928;10951;11004;11064;11083;11258;11335;22832;22919;22924;22933;22974;23384;23636;24137;24139;25936;26009;26271;26586;28964;29127;29899;51143;51203;51335;51434;51473;51562;51652;54820;54888;54908;55112;55143;55177;55732;55856;55920;56271;56647;56992;57805;64210;65263;79095;79649;79718;79801;79866;79902;81027;81610;81930;84080;84440;84722;90417;90799;91272;91782;92421;93323;112869;114791;115106;126353;126731;127829;134492;137886;146909;150275;150468;151648;201163;203068;221150;221496;259266;282809;283489;284403;348235;440145;644943;143;311;472;822;827;990;998;1263;1400;1432;1453;1540;1663;1731;1780;1877;2009;2017;2035;2068;2648;2669;2801;2877;2908;3174;3579;3636;3796;3985;4033;4064;4117;4134;4627;4739;4957;5048;5119;5311;5314;5516;5778;5905;5925;6188;6569;6623;6683;6795;6871;6990;6993;7029;7175;7280;7283;7813;7840;8086;8218;8243;8317;8379;8409;8480;8502;8517;8555;8556;8841;8850;8874;8881;9094;9150;9371;9391;9525;9611;9731;9735;9857;9859;9903;10017;10101;10129;10300;10426;10474;10636;10726;10844;10927;10982;11073;11076;11091;11104;11127;11186;11243;22920;23005;23035;23063;23122;23157;23170;23172;23255;23331;23332;23354;23568;25886;25978;26065;26073;26112;26206;26524;27130;27175;27183;27229;27243;27339;27436;29082;29901;49856;50852;51115;51119;51164;51199;51433;51490;51510;51637;51646;51647;54617;54801;54930;54959;54984;55055;55142;55171;55183;55200;55201;55207;55262;55559;55614;55689;55700;55755;56776;57132;57325;57448;57509;57520;57542;57553;60509;64793;65125;79000;79003;79029;79101;79184;79441;79541;79643;79677;79768;79848;79884;79969;79980;79998;80097;80216;80254;80817;81565;83473;83541;83903;84056;84101;84140;84259;84541;84617;84861;84902;84942;84984;85302;85378;85459;89765;90990;93627;112755;114327;121441;123872;124404;128153;128866;140609;145508;147872;150465;151393;152185;153657;158511;162282;166378;168448;199953;201161;220134;225689;252839;252969;253012;255758;256364;260334;284001;341019;347688;347733;391714;402569;642273;653784"
"GO:0000070","mitotic sister chromatid segregation","BP",0.516483516483517,182,9.42257803893987,"324;332;387;699;701;891;983;991;1060;1062;1063;1843;2491;3192;3303;3304;3550;3619;3832;3833;3835;4085;4751;4926;5347;5518;5885;5901;7272;7517;7756;8452;8467;8766;9055;9126;9183;9184;9212;9493;9587;9700;9787;9918;9928;10051;10274;10403;10459;10524;10592;10615;10735;11004;11065;11130;22919;22974;23310;23397;23636;24137;25906;25936;26271;29127;51143;51203;51434;51451;51652;54892;54908;55143;56647;56984;57082;57405;64151;81930;83540;84722;90417;91272;91782;92421;113130;126353;126731;146909;147841;283489;286053;440145;472;2316;2801;3796;3834;3837;4605;4733;5119;5925;6795;7175;7273;7283;8086;8243;8379;8678;8697;8850;8881;9031;9319;9371;9525;9639;9735;10270;10300;10464;10540;10726;11044;11200;23063;23122;23172;23212;23332;25836;25978;26065;26073;26993;27175;27183;27243;27436;29082;29781;49856;51115;51433;51510;51529;54617;54984;55055;55125;55755;55795;56155;57132;64105;79003;79598;79643;79884;79980;79998;81620;81929;83903;84101;84142;84861;90990;118471;128866;129563;144165;148479;152185;256364;285643;348654;387893;729440"
