"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"1","AAGAB","AAGAB","ADM2","AAGAB","ADM2","AAGAB","AARS","ADM2","RPL36A-HNRNPH2","ADM2","AKNA","ADM2","COPB2","ADM2","AARS","AARS","ADM2","ACSS2","AARS","AARS","ADM2","ADM2","","ADM2","","ADM2","","ADM2"
"2","AARS","AARS","AKNA","AARS","CEBPB","ABCA12","ABCD3","AKNA","","AKNA","ALAS1","CEBPB","CSF1","AKNA","ABCD3","ABCD3","AKNA","ATF4","ABCD3","ABCD3","CEBPB","CEBPB","","CEBPB","","CEBPB","","CEBPB"
"3","ABCA12","ABCA12","ALAS1","ABCA12","CHAC1","ABCA2","ADM2","ALAS1","","ALAS1","ASNS","CHAC1","CTR9","ALAS1","ACSS2","ACSS2","ALAS1","JDP2","ADM2","ACSS2","CHAC1","CHAC1","","CHAC1","","CHAC1","","CHAC1"
"4","ABCA2","ABCA2","ASNS","ABCA2","DDIT3","ABCB6","ADORA1","ASNS","","ASNS","CALCB","DDIT3","DTD1","ASNS","ADM2","ADORA1","ASNS","KLF15","ADORA1","ADORA1","DDIT3","DDIT3","","DDIT3","","DDIT3","","DDIT3"
"5","ABCB6","ABCB6","CALCB","ABCB6","GDF15","ABCB7","AKNA","CALCB","","CALCB","CARS","GDF15","EID2","CALCB","ADORA1","ALDH1L2","CALCB","KLF9","AKNA","AKNA","GDF15","GDF15","","GDF15","","GDF15","","GDF15"
"6","ABCB7","ABCB7","CARS","ABCB7","KCNG1","ABCC3","ALAS1","CARS","","CARS","CBS","KCNG1","FTH1","CARS","AKNA","ANKRD11","CARS","TUBB2B","ALAS1","ALAS1","KCNG1","KCNG1","","KCNG1","","KCNG1","","KCNG1"
"7","ABCC3","ABCC3","CBS","ABCC3","NUPR1","ABCF3","ALDH1L2","CBS","","CBS","CCNB1IP1","NUPR1","GCLC","CBS","ALAS1","ANLN","CBS","ZNF672","ALDH1L2","ALDH1L2","NUPR1","NUPR1","","NUPR1","","NUPR1","","NUPR1"
"8","ABCD3","ABCD3","CCNB1IP1","ABCD3","SLC7A11","ABCG1","ANKRD11","CCNB1IP1","","CCNB1IP1","CDKN2C","SLC7A11","HCK","CCNB1IP1","ALDH1L2","APLN","CCNB1IP1","","ANKRD11","ANKRD11","SLC7A11","SLC7A11","","SLC7A11","","SLC7A11","","SLC7A11"
"9","ABCF3","ABCF3","CDKN2C","ABCF3","TUBE1","ABHD14B","ANLN","CDKN2C","","CDKN2C","CEBPG","TUBE1","IK","CDKN2C","ANKRD11","ARHGEF2","CDKN2C","","ANLN","ANLN","TUBE1","TUBE1","","TUBE1","","TUBE1","","TUBE1"
"10","ABCG1","ABCG1","CEBPB","ABCG1","VEGFA","ABI2","APLN","CEBPB","","CEBPB","COPB2","VEGFA","IL18R1","CEBPB","ANLN","ATF4","CEBPB","","APLN","APLN","VEGFA","VEGFA","","VEGFA","","VEGFA","","VEGFA"
