"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"SLC7A11" 2061.26158363552 1.6898044185059 0.189677713754735 8.90881899120166 5.15790424197189e-19 3.85481131428011e-14
"IFRD1" 1309.78522604067 1.09913112844633 0.125358459430056 8.76790552024607 1.82020468435053e-18 6.80174086448107e-14
"KCNG1" 908.411738857853 1.57176199697813 0.186935384047783 8.40804968510602 4.16884560354772e-17 1.03854281675581e-12
"NUPR1" 249.216682159709 2.10653330678639 0.264362263288597 7.96835857199007 1.60795743294646e-15 3.00430766771717e-11
"TRIM16L" 754.453332221525 0.783428902258666 0.109173008592333 7.1760310754474 7.17642492161216e-13 1.07267458588321e-08
"UCHL1" 8840.2899516857 0.517685972359592 0.0736591069942568 7.02813261637771 2.09315909253587e-12 2.60723896566269e-08
"SLC1A5" 10947.9264814368 0.696815053010116 0.0997900269125853 6.98281255721592 2.8932833131178e-12 2.70290527111465e-08
"VEGFA" 1137.48288721213 1.14481543949391 0.163683838409852 6.99406520897552 2.67033344456371e-12 2.70290527111465e-08
"SLC3A2" 11260.7912677902 0.82411791051385 0.120226037999292 6.85473732835396 7.14436706548408e-12 5.5149039905196e-08
"SRXN1" 1770.06388399936 0.80315686291605 0.117247247029069 6.85011275972156 7.37918003441393e-12 5.5149039905196e-08
"OSGIN1" 400.319510523993 1.30676122029012 0.192922634077241 6.77349874751828 1.25704664478049e-11 8.54060345857404e-08
"GADD45A" 1940.1017196496 0.945239779356151 0.144166676663017 6.5565760495791 5.50572478119823e-11 3.42896539373026e-07
"LONP1" 3473.47083706314 0.696644976341488 0.107465989584092 6.48246928202681 9.0233459999471e-11 4.948474916311e-07
"SLC12A8" 459.099631179375 0.704015109160813 0.108671070847395 6.47840408372755 9.26978281261426e-11 4.948474916311e-07
"SEL1L3" 2147.49254734596 0.623813455114296 0.0966914525274739 6.45158841663947 1.10683843184559e-10 5.51471180282746e-07
"DDIT3" 915.160285151463 1.88613569741046 0.293482559222717 6.42673861917333 1.30370705543677e-10 6.08961565594513e-07
"CALCB" 1522.85401393385 0.999524755274775 0.156708759899215 6.37823154185895 1.79144531476971e-10 7.04660300234889e-07
"TRIB3" 2613.68504876728 1.70165597973377 0.266122906241626 6.39424844620009 1.61338918234753e-10 7.04660300234889e-07
"UPP1" 773.436848395201 1.38897530458025 0.217534337303234 6.38508532399679 1.71301929251152e-10 7.04660300234889e-07
"INHBE" 144.628931388201 2.80857837588627 0.44150880686423 6.36131903196654 2.00028484237077e-10 7.47466439897109e-07
"CHAC1" 890.733143824184 1.82717745933339 0.292202701116721 6.25311625234949 4.02342412280283e-10 1.43187916781806e-06
"CCNB1IP1" 793.079569890832 0.611633225542716 0.0987864696805838 6.19146759187135 5.96065946325895e-10 1.93685150280922e-06
