"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"IFRD1" 1309.78522604067 0.748971416421681 0.124765207815382 6.00304707967906 1.93648437122938e-09 8.57707657704915e-05
"CHAC1" 890.733143824184 1.39728882676715 0.290680032933238 4.80696528298549 1.53238588444615e-06 0.0226581196025207
"SLC7A11" 2061.26158363552 0.909751460526526 0.189268740382961 4.80666516132438 1.53468704975079e-06 0.0226581196025207
"STC2" 3034.07454048742 0.87671064411638 0.189641637875849 4.62298603796245 3.78255191361639e-06 0.0418841973394743
"CTH" 647.308951896805 0.973805355558117 0.218896142533158 4.44870953087081 8.63877495438434e-06 0.054661231468513
"SLC1A5" 10947.9264814368 0.444173613301981 0.0997790068527326 4.45157380607679 8.52432238061157e-06 0.054661231468513
"VEGFA" 1137.48288721213 0.72568210398468 0.162799879707387 4.45751007487848 8.29171413000363e-06 0.054661231468513
"MTHFD2" 5583.34426269391 0.650798614261638 0.147763234987726 4.40433382712348 1.06109439976471e-05 0.0587474914429733
"DOLK" 682.072256403009 -0.318185936164609 0.0729704170290524 -4.36047852156206 1.29778321015818e-05 0.0638682377159178
"PSPH" 681.80388913487 0.574491139996719 0.133203164716086 4.31289407591187 1.61131327262751e-05 0.0713682874712175
"GADD45A" 1940.1017196496 0.593911684723874 0.14294032181913 4.15496255476031 3.25340818708644e-05 0.114868269566325
"GARS" 4925.39787061828 0.587284292219416 0.141623300055077 4.14680558912991 3.37146099603141e-05 0.114868269566325
"MTRNR2L8" 11336.9349368239 0.670589632877147 0.161690185020292 4.14737377406668 3.36310775512328e-05 0.114868269566325
"SLC7A1" 3472.93319214698 0.464834499296452 0.116620721676451 3.98586539865596 6.72346205535909e-05 0.212711129539975
"CEBPG" 2840.44653274298 0.546268261356953 0.138421569156821 3.94640997558749 7.93317302315964e-05 0.229790348572553
"SESN2" 1101.5888589577 1.01435046083855 0.257741001618833 3.93554170453117 8.30092472040287e-05 0.229790348572553
"CEBPB" 5887.77901740006 0.413089208518908 0.108984411726656 3.79035131698448 0.000150434360364513 0.367729779847637
"UHRF1BP1" 1230.48150849836 0.510852673711815 0.134649983761663 3.79393045168167 0.000148281223272194 0.367729779847637
"ZNF672" 949.838469593442 -0.245129657262594 0.0648740382215578 -3.77854784413801 0.000157745548114899 0.367729779847637
"EIF2S2" 5747.61248317323 0.273465744345716 0.0729291728718481 3.74974421863049 0.000177015031746311 0.392017489305381
"DNAJA1" 6222.50818546045 -0.290447721830356 0.0782610136902611 -3.71126961094422 0.000206222311603472 0.43495231550195
"TRIB3" 2613.68504876728 0.982539076681781 0.2657922248426 3.69664341108411 0.000218468868288874 0.439837414284127
"GRPEL2" 865.395008105336 0.402288142383114 0.109985158922191 3.65765841796631 0.000254529943323982 0.49015827172634
"CDKN1A" 5316.03292706013 0.606861058902118 0.167936362683353 3.61363703015508 0.000301931666712548 0.557214890918006
"RNF41" 1436.59702320532 0.374231045657073 0.104452059453052 3.58280198223645 0.000339928290986278 0.579080917860162
"SLC3A2" 11260.7912677902 0.431770882811376 0.120203172517393 3.59200904409491 0.000328138458872288 0.579080917860162
"MTRNR2L2" 19501.1384434705 0.593435655641217 0.166946994993786 3.55463514430617 0.00037850393388962 0.620914675549595
"SOGA1" 3580.86609307282 -0.274530446176431 0.0775860482376559 -3.53839965318905 0.000402560257682976 0.636792819046228
"GOT1" 2264.5891815498 0.444312877064671 0.126409521745551 3.51486874508572 0.000439971384896006 0.671972847579789
"CARS" 1951.07423937547 0.467253306984133 0.133330830276723 3.50446559144923 0.000457524687948209 0.675489449286735
"LGR4" 3773.67039928696 -0.351260886939731 0.101566103312156 -3.4584460315481 0.00054330110913713 0.776254604061347
"DDIT3" 915.160285151463 1.00483196996517 0.291301529214793 3.44945655683203 0.000561716105885877 0.77748530505929
"MTRNR2L1" 1528.23531716768 0.647621716069176 0.188690933575056 3.43218247850562 0.000598744544339793 0.803624041148427
"ANKRD11" 5792.99286878643 0.343385426548671 0.101245490714516 3.39161205230286 0.000694827452451891 0.896310290570156
"ZNF621" 1066.45779937347 0.266361210894621 0.078657173519456 3.38635624669041 0.000708273732727252 0.896310290570156
"SHMT2" 6927.70867798921 0.369780880656732 0.109683657113465 3.37133981842166 0.000748035252280554 0.920332705389175
"PCK2" 1529.1197679293 1.13744175776784 0.338251329300229 3.36271186316095 0.000771808764407906 0.92391767008527
"ADORA1" 1020.86870133842 -0.463620769981681 0.139106724276508 -3.33284226476445 0.000859636636215223 0.951875647281116
"KLF4" 988.691713533281 0.517382565873393 0.154974905006674 3.33849255046235 0.000842342889407715 0.951875647281116
"PRAME" 2348.55659911026 -0.306424550902149 0.0916688563863909 -3.34273343184895 0.000829575488946171 0.951875647281116
"LMO4" 2295.46536917948 0.352781198917666 0.108292121502408 3.25768111311609 0.00112326553957409 1.1845637447337
"PLAA" 1400.40118805949 -0.204090305855666 0.062609942846369 -3.25971078358047 0.00111525875397049 1.1845637447337
"FAM111A" 1078.6934527283 -0.345569650928359 0.106707335546076 -3.2384807394909 0.00120168134445714 1.2199852414719
"UPP1" 773.436848395201 0.698580029544232 0.215873999001013 3.23605451688026 0.00121194235132221 1.2199852414719
"FUBP1" 3021.06533434854 -0.190364893694831 0.0590993947389844 -3.22109717934655 0.00127700839105326 1.25691679236735
"TOP1MT" 553.06305940575 0.29219620293324 0.090981351607112 3.21160543091338 0.00131995527013758 1.2606602273389
"ZNF740" 1235.88342769275 0.205360766450928 0.0640200159671859 3.20775875089109 0.00133773662704164 1.2606602273389
"TSC22D1" 2451.21620364476 0.34097616490491 0.10678059579996 3.19324089129157 0.00140685531440436 1.29817574136662
"SARS" 4499.21962717913 0.406407630903917 0.127534249858148 3.18665481120523 0.0014392843832517 1.30099558985682
