"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"UPP1" 2.9327272361008 5.2917584565993e-37 1.54375193152055 3.17551173352508e-09 1.38897530458025 7.04660300234889e-07 0.952129687402873 0.00637097446342524 NA NA NA NA
"FLYWCH1" 1.12758652471291 3.68903629606458e-36 0.666436082978191 2.74684954494719e-11 0.461150441734718 0.000140079527368913 0.426760611376749 0.0014144275863414 NA NA NA NA
"IFRD1" 1.66427095272875 3.68903629606458e-36 0.565139824282421 0.00159390693800392 1.09913112844633 6.80174086448107e-14 1.15356354158263 6.93269090394258e-16 0.748971416421681 8.57707657704915e-05 NA NA
"MAGED1" -1.03385817712356 2.73076843108038e-35 -0.669475876779147 5.33352989391861e-13 -0.364382300344412 0.00263238143140375 NA NA NA NA NA NA
"KLHDC8A" -1.91853914470165 6.83146330147445e-34 -1.03941375488361 3.08507958230243e-08 -0.879125389818035 1.93685150280922e-06 NA NA NA NA NA NA
"GADD45A" 1.84740456099586 8.53121848798671e-34 0.902164781639704 4.63598992704534e-07 0.945239779356151 3.42896539373026e-07 1.00026366848684 1.05961808045132e-08 NA NA NA NA
"HEXIM1" -0.738113192136934 4.76282572740126e-33 -0.545898373164405 8.88453029406863e-16 NA NA -0.314013128656815 7.39680193233657e-05 NA NA NA NA
"VEGFA" 2.04937535305887 1.99993561194231e-32 0.904559913564952 2.0542694811547e-05 1.14481543949391 2.70290527111465e-08 1.5635583770151 8.80090867983889e-17 NA NA 0.837876273030421 0.00469002309762883
"LDHA" -0.710792511052553 5.79075532295381e-32 -0.48857534569093 2.38145525691326e-13 NA NA -0.301064796639199 0.000112321770088417 NA NA NA NA
"SRXN1" 1.44430204601962 2.8207731006541e-31 0.641145183103571 3.0286161629282e-05 0.80315686291605 5.5149039905196e-08 NA NA NA NA NA NA
"KIF20A" -1.70330007820451 1.88493700112539e-30 -1.09853727165518 6.03869951331203e-11 -0.604762806549332 0.00872756082154902 NA NA NA NA NA NA
"ZNF207" -0.715084371529058 1.83702891871045e-29 -0.423161917421111 1.11317138463383e-08 -0.291922454107948 0.000828550027347854 -0.384022700739652 1.13749053640588e-07 NA NA NA NA
"CCNB1IP1" 1.16232618155236 2.65747389202065e-29 0.550692956009647 1.06034155586772e-05 0.611633225542716 1.93685150280922e-06 0.46532556466473 0.00167525897461833 NA NA NA NA
"UCHL1" 0.874948378751081 6.69098175311351e-29 0.35726240639149 0.000571341692164618 0.517685972359592 2.60723896566269e-08 NA NA NA NA NA NA
"SLC3A2" 1.42328338965652 1.24263807088152e-28 0.599165479142666 0.000323461567799806 0.82411791051385 5.5149039905196e-08 0.698628724367764 1.01735516029332e-05 NA NA NA NA
"KCNG1" 2.18915973313362 4.05002786541161e-28 NA NA 1.57176199697813 1.03854281675581e-12 1.46626201127674 2.88718099055485e-11 NA NA 0.975865075009119 0.00280627684946223
"TSPYL1" -0.623532896524546 3.55986091917295e-27 -0.414739591162455 3.88960200534854e-10 NA NA -0.316887913663661 8.42184280653243e-06 NA NA NA NA
"DLGAP5" -1.51685420102959 5.35148841581665e-27 -1.01588833442195 1.72978790361066e-10 NA NA NA NA NA NA NA NA
"GTSE1" -1.31743821483145 6.3918600198025e-27 -0.834839850826693 4.1037782162963e-09 NA NA NA NA NA NA NA NA
"KLF4" 1.75027269051176 6.99094030616414e-26 0.903836716156577 5.41021841231136e-06 0.846435974355179 0.000101327642314669 0.699710819108318 0.00426541334065993 NA NA NA NA
"NUPR1" 2.92764799215798 3.05874408608174e-25 NA NA 2.10653330678639 3.00430766771717e-11 2.32854506736904 9.08228084588961e-13 NA NA 1.49171215837918 0.00280627684946223
"CEBPG" 1.5305466927 6.48937048090346e-25 0.689378112251823 0.000313759260991432 0.841168580448182 3.58303037166499e-06 1.06987671570244 5.80648396023193e-11 NA NA NA NA
"FUBP1" -0.653346956740005 1.05623372411196e-24 -0.441094808001886 1.30929523314888e-09 NA NA -0.293006360332094 0.00064300092066353 NA NA NA NA
"COPB2" -0.586902629212126 1.12472549927587e-24 -0.324838484969957 2.12877180209406e-06 -0.262064144242169 0.000897583491549906 NA NA NA NA NA NA
"CEBPB" 1.19172094279111 2.09526798651472e-24 0.709360922888734 1.61492210109958e-07 0.482360019902381 0.0078331467691315 0.968652754704319 8.96932910278955e-15 NA NA 0.555563546185411 0.00413372792567068
